id	name	base	kind	craftable	mat	prices_json
1	農產品	50	基礎素材	否		{}
2	精靈球造型床	400	其他	是	棉花	{"吉利蛋": 600, "呆殼獸": 600, "小福蛋": 600, "差不多娃娃": 600, "快拳郎": 600, "米立龍": 600, "索羅亞克": 600, "麻花犬": 600}
3	電競電腦	400	休憩家具	否		{"呆殼獸": 600, "夢妖": 600, "沙奈朵": 600, "索羅亞克": 600, "蒼炎刃鬼": 600}
4	伊布棲息物	1000	其他	是	寶可金屬	{"夢妖": 1500, "小福蛋": 1500, "差不多娃娃": 1500, "快拳郎": 1500, "麻花犬": 1500}
5	驚嚇箱	1000	遺失物	否		{"呆殼獸": 1500, "夢妖": 1500, "差不多娃娃": 1500, "沙奈朵": 1500, "米立龍": 1500, "蒼炎刃鬼": 1500, "麻花犬": 1500, "黏美龍": 1500}
6	灑水器	200	遺失物	否		{"伊布": 300, "呆殼獸": 300, "夢妖": 300, "快拳郎": 300, "水箭龜": 300, "沙奈朵": 300, "波皇子": 300, "米立龍": 300, "索羅亞克": 300, "蒼炎刃鬼": 300, "黏美龍": 300}
7	音符墊	300	遺失物	是	寶可金屬	{"呆殼獸": 450, "夢妖": 450, "沙奈朵": 450, "索羅亞克": 450, "蒼炎刃鬼": 450}
8	電競椅	400	休憩家具	否		{"伊布": 600, "吉利蛋": 600, "夢妖": 600, "小福蛋": 600, "差不多娃娃": 600, "米立龍": 600, "索羅亞克": 600}
9	急救箱	200	遺失物	否		{"吉利蛋": 300, "呆殼獸": 300, "夢妖": 300, "小福蛋": 300, "差不多娃娃": 300, "水箭龜": 300, "沙奈朵": 300, "波皇子": 300}
10	電競燈飾	400	其他	否		{"夢妖": 600, "沙奈朵": 600, "索羅亞克": 600}
11	大/小遺失物	10	掉落物	否		{"呆殼獸": 15, "夢妖": 15, "沙奈朵": 15, "索羅亞克": 15}
12	紙	100	基礎素材	否		{"米立龍": 150}
13	加工食物	200	基礎素材	否		{}
14	星星沙子	10	基礎素材	否		{"夢妖": 15, "索羅亞克": 15}
15	飲料	100	基礎素材	否		{}
16	亂撒素材	10	基礎素材	否		{}
17	水晶	100	基礎素材	否		{}
18	鏡面球	200	遺失物	否		{"吉利蛋": 300, "夢妖": 300, "小福蛋": 300, "差不多娃娃": 300, "快拳郎": 300, "水箭龜": 300, "沙奈朵": 300, "米立龍": 300, "索羅亞克": 300, "蒼炎刃鬼": 300, "黏美龍": 300}
19	樹果吊燈	400	其他	是	寶可金屬	{"伊布": 600, "差不多娃娃": 600, "索羅亞克": 600, "麻花犬": 600}
20	無線輸電箱	500	其他	是	寶可金屬	{}
21	電線桿	200	其他	否		{}
22	三角錐	300	其他	否		{}
23	謎之台座	1000	遺失物	否		{}
24	工業風長椅	300	休憩家具	否		{"伊布": 450, "吉利蛋": 450, "呆殼獸": 450, "快拳郎": 450, "米立龍": 450, "索羅亞克": 450, "麻花犬": 450}
25	自然風桌子	200	休憩家具	否		{}
26	豪華床鋪	400	休憩家具	否		{"伊布": 600, "吉利蛋": 600, "呆殼獸": 600, "小福蛋": 600, "差不多娃娃": 600, "快拳郎": 600, "水箭龜": 600, "米立龍": 600, "索羅亞克": 600, "蒼炎刃鬼": 600, "麻花犬": 600, "黏美龍": 600}
27	鐵鷹架	200	其他	否		{}
28	鐵梯子	200	其他	否		{}
29	木頭門	100	其他	否		{}
30	花朵壁飾	500	活動限定	否		{"差不多娃娃": 750, "沙奈朵": 750, "麻花犬": 750}
31	草葉壁飾	20	其他	否		{}
32	箭頭指示牌	100	其他	否		{"伊布": 150, "沙奈朵": 150}
33	羽毛	2000	掉落物	否		{"水箭龜": 3000, "沙奈朵": 3000, "索羅亞克": 3000, "蒼炎刃鬼": 3000, "黏美龍": 3000}
34	怪力岩	10	遺失物	否		{}
35	石頭	10	基礎素材	否		{"伊布": 15, "快拳郎": 15}
36	鐵床鋪	200	休憩家具	否		{"伊布": 300, "吉利蛋": 300, "小福蛋": 300, "差不多娃娃": 300, "快拳郎": 300}
37	軟塌塌黏土	10	基礎素材	否		{"伊布": 15, "吉利蛋": 15, "小福蛋": 15, "差不多娃娃": 15}
38	棉花	10	基礎素材	否		{"伊布": 15, "吉利蛋": 15, "小福蛋": 15, "差不多娃娃": 15}
39	瓦愣紙箱	300	其他	否		{"小福蛋": 450, "波皇子": 450, "米立龍": 450}
40	發光蘑菇	20	其他	否		{}
41	觀眾的椅子	100	休憩家具	是	鐵	{}
42	庭園椅子	300	休憩家具	是	鐵	{}
43	掛壁鏡	400	其他	是	玻璃	{"呆殼獸": 600, "夢妖": 600, "沙奈朵": 600, "蒼炎刃鬼": 600, "麻花犬": 600}
44	掛壁月曆	300	其他	是	紙	{"伊布": 450, "夢妖": 450, "沙奈朵": 450, "麻花犬": 450}
45	水晶球	200	其他	是	玻璃	{"吉利蛋": 300, "呆殼獸": 300, "夢妖": 300, "沙奈朵": 300, "蒼炎刃鬼": 300, "麻花犬": 300}
46	豪華立燈	400	其他	否		{"伊布": 600, "沙奈朵": 600, "蒼炎刃鬼": 600}
47	百變怪地毯	500	其他	是	線團	{}
48	布幕	100	其他	是	線團	{"吉利蛋": 150, "夢妖": 150, "沙奈朵": 150}
49	海報	400	其他	是	紙	{}
50	精靈球玄關墊	500	其他	是	線團	{}
51	化石	1000	掉落物	否		{"蒼炎刃鬼": 1500}
52	掛軸		遺失物	否		{"蒼炎刃鬼": 300, "麻花犬": 300}
